id,first_name,last_name,email,gender,matematika,fisika
1,Keelby,McVicar,kmcvicar0@scribd.com,Male,81,60
2,Nestor,Langhorne,nlanghorne1@woothemes.com,Male,21,58
3,Doti,Denney,ddenney2@umn.edu,Female,51,12
4,Stefan,Hanmer,shanmer3@springer.com,Male,33,63
5,Brandon,Andras,bandras4@g.co,Male,92,72
6,Augustine,Brafferton,abrafferton5@twitter.com,Male,36,19
7,Raymund,Cornau,rcornau6@cloudflare.com,Male,97,19
8,Bertina,Denge,bdenge7@sfgate.com,Female,12,36
9,Allis,Habgood,ahabgood8@clickbank.net,Female,20,66
10,Sindee,Bruffell,sbruffell9@shareasale.com,Female,1,92
11,Saloma,Nemchinov,snemchinova@bandcamp.com,Female,77,6
12,Danny,Pinnell,dpinnellb@imgur.com,Male,0,88
13,Hew,O'Fairy,hofairyc@squarespace.com,Male,65,19
14,Patience,Collinson,pcollinsond@un.org,Female,26,3
15,Timofei,Cockerham,tcockerhame@businessinsider.com,Male,95,50
16,Rivy,Langdale,rlangdalef@hao123.com,Female,87,21
17,Karilynn,Richmont,krichmontg@gnu.org,Female,89,61
18,Vernon,Aspey,vaspeyh@va.gov,Male,5,95
19,De witt,Olennikov,dolennikovi@4shared.com,Male,65,50
20,Kerrill,Willisch,kwillischj@deviantart.com,Female,61,99
21,Albrecht,Dowthwaite,adowthwaitek@state.gov,Male,2,20
22,Larissa,Graham,lgrahaml@technorati.com,Female,91,63
23,Dulcinea,Surridge,dsurridgem@ifeng.com,Female,85,45
24,Shelby,Smithend,ssmithendn@ehow.com,Male,93,48
25,Sydelle,Baudouin,sbaudouino@pinterest.com,Female,70,92
26,Nana,Pullar,npullarp@foxnews.com,Female,49,29
27,Vere,Stych,vstychq@un.org,Female,8,68
28,Darb,Lowdeane,dlowdeaner@virginia.edu,Female,94,70
29,Manon,Guitte,mguittes@japanpost.jp,Female,28,40
30,Ed,Duns,edunst@webeden.co.uk,Male,40,4
31,Ellene,Cabble,ecabbleu@pinterest.com,Female,43,5
32,Jedidiah,McKeon,jmckeonv@acquirethisname.com,Male,62,3
33,Nelli,Rutledge,nrutledgew@dailymotion.com,Female,38,16
34,Louisa,Edler,ledlerx@ustream.tv,Female,10,81
35,Jerrome,Greger,jgregery@slashdot.org,Male,96,73
36,Curry,Twycross,ctwycrossz@utexas.edu,Male,74,61
37,Keely,Seifenmacher,kseifenmacher10@ask.com,Female,25,80
38,Lynn,Bradnock,lbradnock11@jugem.jp,Male,69,30
39,Ingeborg,Obbard,iobbard12@blogs.com,Female,30,68
40,Germain,Zink,gzink13@weather.com,Female,38,94
41,Myrta,Piggens,mpiggens14@addtoany.com,Female,39,40
42,Carin,Deesly,cdeesly15@globo.com,Female,41,20
43,Saudra,Clapston,sclapston16@who.int,Female,71,75
44,Twyla,Code,tcode17@answers.com,Female,22,54
45,Merl,Brasseur,mbrasseur18@virginia.edu,Female,60,39
46,Iorgo,Bonhome,ibonhome19@blog.com,Male,41,68
47,Jennifer,Paschek,jpaschek1a@quantcast.com,Female,18,53
48,Gerta,Franzettoini,gfranzettoini1b@timesonline.co.uk,Female,2,98
49,Ronda,Earsman,rearsman1c@constantcontact.com,Female,89,61
50,Jasmine,Maddrell,jmaddrell1d@goo.gl,Female,74,21
51,Lora,Holsall,lholsall1e@cafepress.com,Female,55,23
52,Corena,Hitzke,chitzke1f@europa.eu,Female,61,99
53,Fowler,Guite,fguite1g@comcast.net,Male,71,10
54,Polly,Brashaw,pbrashaw1h@slideshare.net,Female,58,77
55,Isidora,Culy,iculy1i@youtu.be,Female,20,5
56,Jeff,Phipp,jphipp1j@yolasite.com,Male,48,71
57,Enrica,Ludford,eludford1k@biblegateway.com,Female,42,27
58,Berky,Demschke,bdemschke1l@rakuten.co.jp,Male,54,18
59,Casi,Lansley,clansley1m@umich.edu,Female,42,45
60,Koralle,Josland,kjosland1n@mail.ru,Female,66,50
61,Brittney,Doidge,bdoidge1o@weebly.com,Female,35,27
62,Garold,Kefford,gkefford1p@lycos.com,Male,29,78
63,Grayce,Kirkwood,gkirkwood1q@dmoz.org,Female,52,26
64,Herold,Parsell,hparsell1r@wiley.com,Male,35,84
65,Betteanne,Codrington,bcodrington1s@ed.gov,Female,8,49
66,Madelene,MacMakin,mmacmakin1t@adobe.com,Female,91,35
67,Matthieu,Furmage,mfurmage1u@amazonaws.com,Male,86,26
68,Lion,Siberry,lsiberry1v@forbes.com,Male,77,84
69,Rhetta,Armor,rarmor1w@mashable.com,Female,41,82
70,Cody,Maude,cmaude1x@digg.com,Female,29,8
71,Rosamund,Rhymer,rrhymer1y@w3.org,Female,9,0
72,Mireielle,Westmancoat,mwestmancoat1z@topsy.com,Female,97,14
73,Maisie,Aingell,maingell20@bloomberg.com,Female,59,53
74,Arvin,Jakel,ajakel21@hud.gov,Male,15,73
75,Kevyn,Celli,kcelli22@stumbleupon.com,Female,24,76
76,Mattie,Anderer,manderer23@netlog.com,Female,96,54
77,Adolphe,Brinkman,abrinkman24@wiley.com,Male,19,98
78,Carmella,Schubert,cschubert25@mit.edu,Female,85,68
79,Christopher,Zambon,czambon26@prnewswire.com,Male,8,41
80,Alasteir,Fairham,afairham27@craigslist.org,Male,17,20
81,Hillie,Blacklawe,hblacklawe28@nyu.edu,Male,24,57
82,Andrei,Eckford,aeckford29@marketwatch.com,Female,77,23
83,Jae,Girardetti,jgirardetti2a@npr.org,Male,78,42
84,Dorotea,Neaverson,dneaverson2b@chron.com,Female,75,86
85,Killy,Kinde,kkinde2c@blog.com,Male,42,9
86,Batsheva,Ickovitz,bickovitz2d@networksolutions.com,Female,4,70
87,Si,Mathes,smathes2e@sun.com,Male,37,36
88,Brianna,Gabites,bgabites2f@addthis.com,Female,66,24
89,Berky,Heeron,bheeron2g@webmd.com,Male,84,61
90,Matthaeus,Lashmar,mlashmar2h@youku.com,Male,45,37
91,Fleur,Sheraton,fsheraton2i@slate.com,Female,65,83
92,Rheba,Fearne,rfearne2j@pbs.org,Female,47,74
93,Amelita,Ormshaw,aormshaw2k@nytimes.com,Female,45,52
94,Annadiana,Brelsford,abrelsford2l@ed.gov,Female,75,56
95,Suzette,Croson,scroson2m@answers.com,Female,77,67
96,Clotilda,Skates,cskates2n@opensource.org,Female,50,45
97,Jaquelyn,Wimbridge,jwimbridge2o@mapy.cz,Female,21,83
98,Harbert,O'Downe,hodowne2p@paginegialle.it,Male,73,72
99,Marchelle,Scading,mscading2q@pagesperso-orange.fr,Female,63,35
100,Rosalie,Stopper,rstopper2r@creativecommons.org,Female,41,74
101,Roddy,Kiely,rkiely2s@virginia.edu,Male,75,29
102,Kalina,Bolin,kbolin2t@i2i.jp,Female,76,2
103,Vivienne,Plumley,vplumley2u@businessinsider.com,Female,76,33
